Episode,Status,Duration_Seconds,JSON_Output,Report_Output,Repaired_Output,Package_Dir,Package_Zip
RubbleAndCrew Episode 101,SUCCESS,1566.7,batch_results/sync_report_CENT_TV_297558_ASP1203379_RubbleAndCrew_Ep101_TheC_CENT_TV_297558_ASP1203379_RubbleAndCrew_Ep101_TheC_a109bb6e_005838.json,batch_results/RubbleAndCrew_Episode_101_formatted_report.md,repaired_sync_files/RubbleAndCrew_Episode_101_REPAIRED.mov,repair_packages/RubbleAndCrew Episode 101_sync_repair_20250913_010403,
RubbleAndCrew Episode 101_1_2,SUCCESS,1777.5,batch_results/sync_report_CENT_TV_297558_ASP1203379_RubbleAndCrew_Ep101_TheC_CENT_TV_297558_ASP1203379_RubbleAndCrew_Ep101_TheC_9d06b50c_005848.json,batch_results/RubbleAndCrew_Episode_101_1_2_formatted_report.md,repaired_sync_files/RubbleAndCrew_Episode_101_1_2_REPAIRED.mov,repair_packages/RubbleAndCrew Episode 101_1_2_sync_repair_20250913_010411,
RubbleAndCrew Episode 101_2_0,SUCCESS,1112.4,batch_results/sync_report_CENT_TV_297558_ASP1203379_RubbleAndCrew_Ep101_TheC_CENT_TV_297558_ASP1203379_RubbleAndCrew_Ep101_TheC_7986364c_013319.json,batch_results/RubbleAndCrew_Episode_101_2_0_formatted_report.md,repaired_sync_files/RubbleAndCrew_Episode_101_2_0_REPAIRED.mov,repair_packages/RubbleAndCrew Episode 101_2_0_sync_repair_20250913_013539,
